,proj_id,risk_spectrum,spec_code,amc,name_th,proj_retail_type
0,M0005_2558,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
1,M0005_2565,5,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
2,M0017_2565,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
3,M0049_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
4,M0059_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
5,M0074_2544,4,RMF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
6,M0079_2544,4,RMF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
7,M0080_2544,5,RMF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
8,M0081_2544,6,RMF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
9,M0088_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
10,M0090_2561,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
11,M0110_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
12,M0120_2564,7,"FED,SE,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
13,M0134_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
14,M0144_2563,6,"IND,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
15,M0146_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
16,M0151_2563,5,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
17,M0152_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
18,M0158_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
19,M0162_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
20,M0163_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
21,M0164_2564,7,"FF,SE,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
23,M0181_2563,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
24,M0181_2564,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
25,M0182_2565,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
26,M0185_2565,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
27,M0196_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
28,M0207_2549,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
29,M0211_2564,7,"FED,SE,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
30,M0228_2554,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
31,M0232_2564,7,"FED,SE,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
33,M0260_2550,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
34,M0263_2550,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
35,M0274_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
36,M0277_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
38,M0284_2555,4,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
39,M0285_2564,5,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
40,M0295_2564,7,"FED,RMF,SE",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
41,M0310_2564,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
42,M0311_2555,5,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
43,M0311_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
44,M0317_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
45,M0324_2562,5,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
46,M0325_2562,5,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
47,M0327_2562,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
48,M0328_2564,5,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
49,M0329_2563,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
50,M0348_2561,6,"IND,LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
51,M0374_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
52,M0386_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
53,M0396_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
54,M0420_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
56,M0425_2562,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
57,M0426_2562,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
58,M0450_2565,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
59,M0452_2546,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
60,M0457_2565,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
61,M0464_2548,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
62,M0465_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
63,M0466_2564,6,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
64,M0489_2553,4,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
65,M0511_2558,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
66,M0513_2564,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
67,M0515_2565,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
68,M0518_2558,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
69,M0522_2558,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
70,M0534_2563,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
71,M0536_2563,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
72,M0539_2564,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
73,M0547_2564,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
74,M0548_2564,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
75,M0550_2560,6,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
76,M0555_2564,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
77,M0570_2560,6,"FED,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
78,M0593_2558,7,"FED,RMF,SE",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
79,M0597_2552,6,"IND,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
81,M0620_2552,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
82,M0623_2547,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
83,M0626_2547,6,"LTF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
84,M0640_2566,4,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
85,M0643_2555,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
86,M0721_2565,1,"FED,MM,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
87,M0732_2556,4,SSF,C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
88,M0749_2558,6,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
90,M0787_2554,6,"IND,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
91,M0828_2554,5,"FF,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
93,M0866_2554,4,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
94,M0874_2554,5,"FED,SSF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
95,M0933_2554,5,"FF,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
96,M0935_2554,5,"FF,RMF",C0000000239,บริษัท หลักทรัพย์จัดการกองทุนไทยพาณิชย์ จำกัด,R
